surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
591.7411397681159,26.823190552042163,4.50,254.0,1.07,7.40,314.0,0.53,85.0
616.2664423728589,27.69418486166008,4.60,200.0,1.10,7.60,318.0,0.59,74.0
699.5515464150197,24.585098998682476,7.10,203.0,1.65,6.00,189.0,0.72,82.0
685.3621092463768,25.05740653491436,6.30,178.0,1.59,6.10,201.0,0.64,83.0
639.9591984940712,26.355212260869564,4.70,154.0,1.64,6.40,209.0,0.62,81.0
513.6897756455863,31.13513306587615,2.70,152.0,1.56,6.50,185.0,0.68,73.0
130.169496828722,32.9333878801054,0.50,196.0,1.22,6.70,246.0,0.86,344.0
91.32850621739131,22.406674214756258,1.10,290.0,1.08,8.10,235.0,0.87,329.0
449.62817620158097,55.31214005006588,4.30,286.0,1.05,7.10,232.0,0.47,344.0
306.09843702239795,48.75553823320158,3.60,273.0,1.06,7.40,265.0,0.53,330.0
342.98611182081686,27.668274739130432,2.90,26.0,1.34,8.50,346.0,0.18,47.0
204.5245283254282,5.341788561264822,1.60,20.0,1.33,8.80,360.0,0.09,117.0
343.6730164018445,29.89575534914361,3.00,231.0,1.42,8.30,306.0,0.25,32.0
345.8844281765481,30.72216938603426,3.30,225.0,1.27,8.50,322.0,0.12,340.0
457.8122050105401,10.843699541501977,3.60,79.0,1.94,10.90,300.0,0.51,159.0
444.4877069380764,5.9899967075098814,2.90,53.0,1.96,11.10,326.0,0.52,128.0
303.98194818181815,-52.82784585902503,1.50,19.0,1.43,9.10,328.0,0.80,163.0
320.958075486166,-73.84882061264823,0.70,27.0,1.30,10.20,339.0,0.98,167.0
635.920745629776,16.29338294466403,6.70,240.0,2.11,11.60,6.0,0.67,176.0
651.8824613465085,15.426067067193676,7.10,193.0,1.75,11.30,347.0,0.79,180.0
453.2506474914361,22.38188556126482,2.80,349.0,4.73,14.00,59.0,0.46,94.0
466.6916211146246,31.91443440316206,2.80,335.0,4.30,14.20,46.0,0.50,83.0
646.8184329222661,33.67327222661396,5.30,206.0,2.15,6.60,267.0,0.74,45.0
493.0822244664032,15.70211775098814,5.10,244.0,2.06,8.80,223.0,0.61,186.0
653.7851487997365,19.721395221343872,7.00,227.0,2.44,8.60,228.0,0.59,171.0
