surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
-4.485136250329381,-1.5836543596837946,1.10,32.0,2.87,10.30,327.0,0.58,198.0
-4.804175118577075,-1.7982041501976287,0.70,210.0,2.61,10.60,292.0,0.64,197.0
-3.2653460158102767,-1.1395821778656128,3.20,268.0,2.42,9.30,291.0,0.71,189.0
-2.1578964347826086,0.990043300395257,4.40,274.0,2.27,9.60,286.0,0.61,192.0
-0.16151797891963107,3.4737020671936762,5.90,260.0,2.75,8.20,278.0,0.60,191.0
3.433436309617919,8.689940781291174,8.00,261.0,2.78,8.10,276.0,0.61,193.0
4.72012755599473,9.547851699604744,9.10,245.0,3.18,8.10,228.0,0.86,195.0
-0.7818655718050065,1.9924648748353095,5.70,225.0,2.90,7.90,229.0,0.71,190.0
-3.525357420289855,-1.6629272042160739,2.60,212.0,2.57,9.10,291.0,0.71,186.0
4.550877280632411,8.790093353096179,8.40,239.0,2.96,7.90,272.0,0.74,177.0
4.0088314044795785,6.803198309617918,8.30,241.0,2.67,7.80,17.0,0.87,179.0
-1.526176511198946,-1.1975628076416336,4.50,235.0,2.95,8.30,226.0,0.84,176.0
-3.5123946574440055,-1.889932006587615,2.10,188.0,2.63,7.70,265.0,0.70,178.0
-3.3938751106719365,-0.8001381067193675,3.00,240.0,2.17,8.10,279.0,0.65,188.0
0.844602812911726,3.5505738616600793,7.00,276.0,2.34,8.40,300.0,0.87,197.0
-1.4751717154150195,0.7862184584980237,5.80,275.0,2.49,9.10,278.0,0.90,200.0
1.1441592252964428,3.6205603544137026,7.00,279.0,2.75,9.10,262.0,0.85,190.0
0.4795614611330698,0.8671570461133069,6.70,275.0,2.65,8.20,259.0,1.02,188.0
0.5639827483530964,0.4324690513833992,6.40,276.0,3.03,9.10,286.0,0.99,184.0
-1.3192409960474307,-1.2276610895915676,4.50,274.0,2.86,8.70,256.0,0.86,175.0
0.5304877839262186,2.1217139841897232,5.90,277.0,2.80,8.70,260.0,0.76,172.0
3.8807324980237152,7.764239,8.10,283.0,2.81,8.80,276.0,0.75,180.0
3.514561249011858,6.873961472990777,8.30,284.0,2.74,8.30,215.0,0.87,188.0
2.8263076613965747,6.614445382081685,7.90,273.0,3.03,8.50,251.0,0.79,190.0
-0.3481031778656126,1.8031210606060608,5.70,277.0,2.90,9.30,250.0,0.74,182.0
1.1023511185770751,3.998709347826087,6.90,267.0,2.85,9.10,266.0,0.79,190.0
1.6199614031620555,3.8624557786561264,7.20,272.0,2.94,9.50,273.0,0.87,188.0
-0.5600054980237154,0.9703912160737813,5.50,266.0,3.02,9.40,256.0,0.79,181.0
-1.2256139947299078,1.1982350790513834,5.00,277.0,2.70,9.30,262.0,0.68,183.0
-2.6380828577075097,-0.6064590790513834,3.90,280.0,2.43,8.80,234.0,0.72,185.0
-3.125721509881423,-1.6331060619235833,3.50,278.0,2.47,8.90,256.0,0.80,187.0
0.7245986930171279,2.65551581027668,6.40,251.0,2.47,9.60,264.0,0.81,182.0
1.7829715718050065,4.486971911725955,6.90,246.0,2.41,9.40,233.0,0.74,176.0
1.943758957839262,4.803108080368907,7.10,266.0,2.46,9.50,244.0,0.76,180.0
2.6445221093544133,5.330609277997365,7.50,189.0,2.38,8.80,276.0,0.82,181.0
-0.8464733623188406,0.6989513254281949,5.00,192.0,2.60,9.20,255.0,0.74,175.0
-0.35217514888010537,3.239772375494071,5.50,223.0,2.22,9.60,254.0,0.53,179.0
-0.05618949802371539,4.3578167918313575,6.00,211.0,1.89,9.50,250.0,0.52,197.0
0.4620980658761529,5.041647577075099,6.30,175.0,2.03,8.50,251.0,0.51,196.0
2.290418167325428,7.810008133069829,7.30,179.0,1.97,9.00,277.0,0.47,200.0
3.3828901699604743,9.425753911725954,8.00,174.0,1.99,9.10,229.0,0.52,205.0
2.9988257562582343,7.723658859025032,7.90,173.0,2.13,9.30,258.0,0.70,194.0
4.766358654808959,10.071045536231884,8.70,198.0,1.99,8.90,234.0,0.71,187.0
3.65476085770751,8.571654583662713,8.10,188.0,2.19,5.80,192.0,0.65,189.0
5.264612114624506,10.864547389986827,9.00,174.0,2.36,6.00,213.0,0.72,189.0
4.866261447957839,10.271918038208169,8.70,161.0,2.41,8.80,234.0,0.68,185.0
3.9112933610013174,9.313569610013175,8.00,160.0,2.25,8.00,264.0,0.54,179.0
1.8725117114624505,6.9011980210803685,7.00,160.0,2.44,8.80,256.0,0.47,189.0
1.9731094031620553,7.268557615283268,7.20,164.0,2.12,8.90,246.0,0.50,199.0
0.261614930171278,4.354860337285903,6.20,166.0,2.14,8.70,246.0,0.57,192.0
-2.222943031620553,2.5950190711462455,4.50,38.0,1.84,6.70,219.0,0.40,222.0
-2.1495445731225296,3.125893277997365,5.00,48.0,1.66,8.80,253.0,0.52,232.0
-0.7680178919631094,4.416760475625823,6.10,26.0,1.81,5.80,56.0,0.62,224.0
-3.5360593320158102,0.9181434268774703,3.80,31.0,2.15,8.10,36.0,0.55,219.0
-2.519689972332016,1.8195899196310936,4.30,2.0,2.15,8.50,65.0,0.47,206.0
-3.7230285032938077,-0.007474898550724641,3.20,356.0,2.23,8.80,38.0,0.56,203.0
-4.420709988142293,-0.6262431501976284,2.50,357.0,1.98,8.70,62.0,0.60,205.0
-3.498676291172596,0.06976007378129118,2.90,305.0,2.05,9.90,3.0,0.48,196.0
-3.9522811462450593,-0.7205498181818183,2.40,302.0,2.60,10.30,25.0,0.53,194.0
-3.2312100368906456,-0.22768532411067194,3.50,274.0,3.02,10.60,47.0,0.59,193.0
