surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0,group,case
2.036629904299584,0.272156346740638,4.10,171.0,1.66,11.50,357.0,0.62,208.0,1,31
2.0369738765603325,0.2340246158113731,4.00,171.0,1.62,10.90,347.0,0.75,196.0,1,32
2.037420748959778,0.22265070041608878,3.90,178.0,1.60,12.00,2.0,0.79,194.0,1,33
2.0442254049930653,0.1973510887656033,3.80,172.0,1.50,11.30,351.0,0.79,189.0,1,34
2.0521965145631067,0.2530719944521498,4.70,184.0,1.67,10.70,347.0,0.71,183.0,1,35
2.0448675423023577,0.2587045547850208,5.40,207.0,1.85,10.80,346.0,0.66,198.0,1,36
2.0295134687933425,0.20746742579750346,6.20,191.0,1.70,10.60,332.0,0.77,192.0,1,37
2.0103822884882105,0.22166009431345357,4.20,172.0,1.49,10.70,340.0,0.73,194.0,1,38
2.0287388723994453,0.2629636352288488,3.20,162.0,1.41,11.10,333.0,0.60,190.0,1,39
2.0354162704576977,0.260207972260749,2.30,171.0,1.57,10.70,324.0,0.59,189.0,1,40
2.0407016948682384,0.22543003328710126,2.70,191.0,1.22,9.90,316.0,0.71,178.0,1,41
2.041123374479889,0.25558022746185854,1.30,172.0,1.34,11.00,333.0,0.62,183.0,1,42
2.0287915894590847,0.26941502635228853,3.40,226.0,1.35,10.60,335.0,0.58,183.0,1,43
2.0312774937586684,0.2726642080443828,4.20,223.0,1.42,11.50,331.0,0.56,198.0,1,44
2.035733492371706,0.26030680305131765,2.70,195.0,1.61,11.10,330.0,0.61,200.0,1,45
2.0407143079056866,0.23569403328710123,2.60,217.0,1.44,11.50,320.0,0.69,193.0,1,46
2.0370354174757277,0.25556739944521495,1.80,201.0,1.27,10.90,347.0,0.64,194.0,1,47
2.021134316227462,0.2604079042995839,1.60,222.0,1.33,10.90,319.0,0.59,194.0,1,48
2.0324399042995838,0.22503703606102637,1.90,238.0,1.14,10.60,329.0,0.69,189.0,1,49
2.0376265117891816,0.22092367128987517,2.30,214.0,1.16,10.70,323.0,0.70,190.0,1,50
2.035916832177531,0.24805413314840502,4.20,233.0,1.21,10.40,326.0,0.61,188.0,1,51
2.038799925104022,0.25590709708737863,5.00,244.0,1.13,10.80,357.0,0.63,185.0,1,52
2.032252384188627,0.237293947295423,4.70,214.0,1.17,10.80,324.0,0.65,196.0,1,53
2.03516706518724,0.21445058252427188,5.00,178.0,1.16,8.80,67.0,0.70,193.0,1,54
2.0333245644937583,0.2289628932038835,4.20,165.0,1.12,10.20,326.0,0.67,192.0,1,55
2.028226471567268,0.2319762316227462,3.60,155.0,1.08,10.70,320.0,0.66,188.0,1,56
2.043178841886269,0.2332845270457698,2.20,170.0,1.09,11.00,320.0,0.67,186.0,1,57
2.0323762219140087,0.2246488723994452,3.70,199.0,0.98,6.70,257.0,0.67,192.0,1,58
2.037274966712899,0.21634177947295424,4.50,215.0,1.00,6.50,257.0,0.70,187.0,1,59
2.036281547850208,0.23878949653259363,5.00,233.0,1.02,6.30,243.0,0.62,190.0,1,60
